year,stage,home_team,away_team,home_score,away_score,outcome,winning_team,date
1954,Group 4,Belgium,Italy,1,4,A,Italy,1954-06-20
1954,Group 2,West Germany,Hungary,3,8,A,Hungary,1954-06-20
1954,Group 2,South Korea,Turkey,0,7,A,Turkey,1954-06-20
1954,Group 4,Switzerland,England,0,2,A,England,1954-06-20
1954,Group 2,West Germany,Turkey,7,2,H,West Germany,1954-06-23
1954,Group 4,Switzerland,Italy,4,1,H,Switzerland,1954-06-23
1954,Quarterfinals,England,Uruguay,2,4,A,Uruguay,1954-06-26
1954,Quarterfinals,Switzerland,Austria,5,7,A,Austria,1954-06-26
1954,Quarterfinals,Brazil,Hungary,2,4,A,Hungary,1954-06-27
1954,Quarterfinals,West Germany,Yugoslavia,2,0,H,West Germany,1954-06-27
1954,Semifinals,Austria,West Germany,1,6,A,West Germany,1954-06-30
1954,Semifinals,Hungary,Uruguay,4,2,H,Hungary,1954-06-30
1954,Third place,Austria,Uruguay,3,1,H,Austria,1954-07-03
1954,Final,West Germany,Hungary,3,2,H,West Germany,1954-07-04
1958,Group 1,Argentina,West Germany,1,3,A,West Germany,1958-06-08
1958,Group 4,Austria,Brazil,0,3,A,Brazil,1958-06-08
1958,Group 1,Czechoslovakia,Northern Ireland,0,1,A,Northern Ireland,1958-06-08
1958,Group 4,England,Soviet Union,2,2,D,Tied,1958-06-08
1958,Group 2,France,Paraguay,7,3,H,France,1958-06-08
1958,Group 3,Hungary,Wales,1,1,D,Tied,1958-06-08
1958,Group 2,Scotland,Yugoslavia,1,1,D,Tied,1958-06-08
1958,Group 3,Sweden,Mexico,3,0,H,Sweden,1958-06-08
1958,Group 1,Argentina,Northern Ireland,3,1,H,Argentina,1958-06-11
1958,Group 4,Austria,Soviet Union,0,2,A,Soviet Union,1958-06-11
1958,Group 4,Brazil,England,0,0,D,Tied,1958-06-11
1958,Group 1,Czechoslovakia,West Germany,2,2,D,Tied,1958-06-11
1958,Group 2,France,Yugoslavia,2,3,A,Yugoslavia,1958-06-11
1958,Group 3,Mexico,Wales,1,1,D,Tied,1958-06-11
1958,Group 2,Paraguay,Scotland,3,2,H,Paraguay,1958-06-11
1958,Group 3,Sweden,Hungary,2,1,H,Sweden,1958-06-12
1958,Group 1,Argentina,Czechoslovakia,1,6,A,Czechoslovakia,1958-06-15
1958,Group 4,Austria,England,2,2,D,Tied,1958-06-15
1958,Group 4,Brazil,Soviet Union,2,0,H,Brazil,1958-06-15
1958,Group 2,France,Scotland,2,1,H,France,1958-06-15
1958,Group 1,West Germany,Northern Ireland,2,2,D,Tied,1958-06-15
1958,Group 3,Hungary,Mexico,4,0,H,Hungary,1958-06-15
1958,Group 2,Paraguay,Yugoslavia,3,3,D,Tied,1958-06-15
1958,Group 3,Sweden,Wales,0,0,D,Tied,1958-06-15
1958,Group 1,Czechoslovakia,Northern Ireland,1,2,A,Northern Ireland,1958-06-17
1958,Group 4,England,Soviet Union,0,1,A,Soviet Union,1958-06-17
1958,Group 3,Hungary,Wales,1,2,A,Wales,1958-06-17
1958,Quarterfinals,Brazil,Wales,1,0,H,Brazil,1958-06-19
1958,Quarterfinals,France,Northern Ireland,4,0,H,France,1958-06-19
1958,Quarterfinals,West Germany,Yugoslavia,1,0,H,West Germany,1958-06-19
